"id","title","street","locality","postal_code","country","region_full"
"8557944","Stockkeeper SCD","2530 N Salisbury Boulevard","Salisbury","21801","United States","Maryland"
"7820059","Sr Engineer","680 RIDGE PIKE","PLYMOUTH MEETING","19462","United States","Pennsylvania"
"8564705","Manager IT","11520 CRONRIDGE DR","OWINGS MILLS","21117","United States","Maryland"
"8264088","Sr Business Analyst","2 Center Plaza","BALTIMORE","21201","United States","Maryland"
"8598521","Sr Project Manager","1 LINCOLN CTR","OAKBROOK TERRACE","60181","United States","Illinois"
"8602961","Analyst Audit Services - BSC","None","BALTIMORE","21201","United States","Maryland"
"8614039","Sr. Business Analyst - PHI","5 Collins Drive","Carneys Point","08069","United States","New Jersey"
"8134387","Sr. Quantitative Engineer - Pepco Holdings","401 Eagle Run Road,","Christiana","19702","United States","Delaware"
"8619986","Staff Accountant - PHISCO","None","None","None","United States","None"
"7882843","Senior Project Manager - Utility of the Future","None","Newark","19713","United States","Delaware"
"8624071","Utilities Methods Engineer","11350 PULASKI HWY","WHITE MARSH","21162","United States","Maryland"
"8339769","Sr Engineering Design Tech - New Business ","1500 FRANKLIN BLVD # 542","LIBERTYVILLE","60048","United States","Illinois"
"8625345","Software Engineer","None","PHILADELPHIA","19124","United States","Pennsylvania"
"8345197","Assistant General Counsel - Privacy & Compliance","200 EXELON WAY","KENNETT SQUARE","19348","United States","Pennsylvania"
"8655077","Telecom Engineer - Network Ops Nokia & CheckPoint","2900 LORD BALTIMORE DR","BALTIMORE","21244","United States","Maryland"
"7601267","Senior Project Manager - ADMS","None","Mays Landing","08330","United States","New Jersey"
"8345771","Business Analyst","300 FRONT ST","CONSHOHOCKEN","19428","United States","Pennsylvania"
"8149618","Senior Project Manager","None","Mays Landing","08330","United States","New Jersey"
"8740036","Engineering Design Tech","25000 GOVERNORS HWY","UNIVERSITY PARK","60484","United States","Illinois"
"8393736","Sr Business Analyst","2 Center Plaza","BALTIMORE","21201","United States","Maryland"
"8753586","General Engineer","7309 WINDSOR MILL RD","BALTIMORE","21244","United States","Maryland"
"8754801","Sr. Architect","3 LINCOLN CTR","OAKBROOK TERRACE","60181","United States","Illinois"
"8754802","Sr. Architect","None","CHICAGO","60603","United States","Illinois"
"7962757","Sr. Services Analyst - IT","None","BALTIMORE","21201","United States","Maryland"
"8759081","Fleet Technician B","8300 Old Marlboro Pike","Upper Marlboro","20772","United States","Maryland"
"8190154","Sr Project Manager - Oakbrook Terrace","1 LINCOLN CTR","OAKBROOK TERRACE","60181","United States","Illinois"
"8768262","Customer Care Representative Temporary","None","Salisbury","21802","United States","Maryland"
"8529884","Relay Tester C NERC","3400 Benning Road, N.E.","WASHINGTON","20019","United States","District of Columbia"
"8777854","Escalated Investigations Representative","701 9th Street. NW","WASHINGTON","20068","United States","District of Columbia"
"8560755","Sr Engineer (SCADA & Cybersecurity - Substations)","300 Chesterfield Parkway","MALVERN","19355","United States","Pennsylvania"
"8781880","Sr Tax Analyst - BSC","10 S DEARBORN ST","CHICAGO","60603","United States","Illinois"
"8783199","Systems Engineer (EU Real Time T&D SCADA)","None","BALTIMORE","21201","United States","Maryland"
"8783200","Systems Engineer (EU Real Time T&D SCADA)","None","Mays Landing","08330","United States","New Jersey"
"8021839","Drexel Spring-Summer Cycle 2022","2301 MARKET ST","PHILADELPHIA","19103","United States","Pennsylvania"
"8783203","Systems Engineer (EU Real Time T&D SCADA)","None","KENNETT SQUARE","19348","United States","Pennsylvania"
"8298012","Helper Distribution Test","3400 Benning Road, N.E.","WASHINGTON","20019","United States","District of Columbia"
"8313100","Sr Engineer - Meter Engineering","1060 W SWEDESFORD RD","BERWYN","19312","United States","Pennsylvania"
"8134386","Sr. Quantitative Engineer - Pepco Holdings","701 9th Street. NW","WASHINGTON","20068","United States","District of Columbia"
"8794240","Sr Quantitative Analyst - PHI","None","WASHINGTON","20002","United States","District of Columbia"
"8322118","General Engineer","7309 WINDSOR MILL RD","BALTIMORE","21244","United States","Maryland"
"8621942","General Engineer","1699 Leadenhall St","BALTIMORE","21230","United States","Maryland"
"8149612","Senior Project Manager","None","CHICAGO","60603","United States","Illinois"
"8832779","Lighting Account Rep","1068 N FRONT ST","BALTIMORE","21202","United States","Maryland"
"8625344","Software Engineer","None","BALTIMORE","21201","United States","Maryland"
"8838415","Sr. Software Engineer - Outage Management System","7309 WINDSOR MILL RD","BALTIMORE","21244","United States","Maryland"
"8625346","Software Engineer","None","None","20002","United States","District of Columbia"
"8861249","Service Representative B Temp","4110 Forestville Road","District Heights-Forestville","20747","United States","Maryland"
"8149616","Senior Project Manager","None","Newark","19713","United States","Delaware"
"8718484","Legal- Intern ","2301 MARKET ST","PHILADELPHIA","19103","United States","Pennsylvania"
"8351147","Project Manager","2301 MARKET ST","PHILADELPHIA","19103","United States","Pennsylvania"
"8731689","Senior Accountant - PHISCO","630 Martin Luther King Bl","Wilmington","19899","United States","Delaware"
"8377207","General Engineer","7309 WINDSOR MILL RD","BALTIMORE","21244","United States","Maryland"
"8751212","Designer - Multiple Locations","830 SCHUYLKILL AVE","PHILADELPHIA","19146","United States","Pennsylvania"
"8149695","Sr. Software Engineer","None","PHILADELPHIA","19124","United States","Pennsylvania"
"8432969","Senior Accountant- BSC","10 S DEARBORN ST","CHICAGO","60603","United States","Illinois"
"7962756","Sr. Services Analyst - IT","10 S DEARBORN ST","CHICAGO","60603","United States","Illinois"
"8754804","Sr. Architect","None","PHILADELPHIA","19124","United States","Pennsylvania"
"8488108","Technical Analyst IT","300 FRONT ST","CONSHOHOCKEN","19428","United States","Pennsylvania"
"8768261","Customer Care Representative Temporary","2530 N Salisbury Boulevard","Salisbury","21801","United States","Maryland"
"8529804","Sr Quant Analyst, Rec & Anltcs","2 Center Plaza","BALTIMORE","21201","United States","Maryland"
"8772387","Sr Engineer","300 Chesterfield Parkway","MALVERN","19355","United States","Pennsylvania"
"8190754","Mgr, Project Management","100 Pinewood Lane","Warrendale","15086","United States","Pennsylvania"
"8780873","Sr Business Program Manager- PEPCO","701 9th Street. NW","WASHINGTON","20068","United States","District of Columbia"
"7601261","Senior Project Manager - ADMS","1310 Point Street","BALTIMORE","21231","United States","Maryland"
"8262033","Supervisor Dispatch","1699 Leadenhall St","BALTIMORE","21230","United States","Maryland"
"8598249","Technical Analyst IT","680 RIDGE PIKE","PLYMOUTH MEETING","19462","United States","Pennsylvania"
"8783202","Systems Engineer (EU Real Time T&D SCADA)","None","Newark","19713","United States","Delaware"
"8602960","Analyst Audit Services - BSC","10 S DEARBORN ST","CHICAGO","60603","United States","Illinois"
